Código,Nombre,Peso (kg/m),Largo (m)
01411,"BARRA REDONDA 11,11mm",0.27,
01412,"BARRA REDONDA 12,70mm",0.35,
01413,"BARRA REDONDA 13,00mm",0.37,
01414,"BARRA REDONDA 14,29mm",0.441,
01415,"BARRA REDONDA 15,87mm",0.55,
01416,"BARRA REDONDA 14,29mm",0.44,
01417,"BARRA REDONDA 17,00mm",0.63,
01418,BARRA REDONDA 18mm,0.7,3
01419,"BARRA REDONDA 19,00mm",0.8,
01420,"BARRA REDONDA 20,00mm",0.87,
01421,"BARRA REDONDA 21,00mm",0.96,
01422,"BARRA REDONDA 22,00mm",1,
01423,"BARRA REDONDA 23,00mm",1.15,
01424,"BARRA REDONDA 24,00mm",1.25,
01425,"BARRA REDONDA 25,00mm",1.35,
01426,"BARRA REDONDA 26,00mm",1.46,
01427,"BARRA REDONDA 27,00 mm ",1.576,
01428,"BARRA REDONDA 28,00mm",1.7,
01429,"BARRA REDONDA 29,00mm",1.82,
01430,"BARRA REDONDA 30,00mm",1.95,
01431,,,
01432,"BARRA REDONDA 32,00mm",2.2,3
01433,,,
01434,"BARRA REDONDA 34,30mm",2.55,3
01435,"BARRA REDONDA 35,00mm",2.65,3
01436,"BARRA REDONDA 36,00mm",2.8,3
01437,"BARRA REDONDA 37,00mm",2.95,3
01438,"BARRA REDONDA 38,10mm",3.2,3
01439,"BARRA REDONDA 44,45mm",4.3,3
01440,"BARRA REDONDA 40,00mm",3.46,3
01441,"BARRA REDONDA 22,22mm",1.1,3
01442,"BARRA REDONDA 25,40mm",1.4,3
01443,"BARRA REDONDA 31,75mm",2.2,3
01444,,,
01445,,,
01446,,,
01447,,,
01448,,,
01449,,,
01450,"BARRA REDONDA 50,8mm",5.6,3
01451,,,
01452,,,
01453,,,
01454,,,
01455,,,
01456,,,
01457,,,
01458,,,
01459,,,
01460,"BARRA REDONDA 14,2mm",0.428,
01461,,,
01462,"BARRA REDONDA 42,00mm",3.8,
01463,,,
01464,,,
01465,,,
01466,,,
01467,,,
01468,,,
01469,,,
01470,,,
01471,,,
01472,,,
01473,,,
01474,,,
01475,"BARRA REDONDA 75,00mm",12.2,
01490,"BARRA REDONDA 152,00mm",50,3.9
01491,,,
01492,,,
01493,,,
01494,,,
01495,,,
01496,,,
01497,,,
01498,,,
01499,,,
01500,"CAÑO ESTRIADO 32,3 mm",0.3,6.05
01501,,,
01502,,,
01503,PERFIL CRUZ,0.18,6.05
01504,,,
01505,JOTA CHICA,0.136,6.05
01506,GOTERO,,
01507,,,
01508,PERFIL CARROCERO 2,,
01509,GOTERO DE LUJO,,
01510,AVION CHICO,0.248,6.05
01511,AVION GRANDE,0.307,6.05
01512,,,
01513,,,
01514,MEDIA CAÑA REDONDA,,
01515,,,
01516,,,
01517,PASATOLDO,0.384,6.05
01518,PERFIL CARROCERO 2,,
01519,PERFIL CARROCERO 1,,
02000,,,
02001,,,
02002,,,
02003,,,
02004,PORTAPRECIO Nº 7-004,0.33,6.05
02005,,,
02006,,,
02007,PELICANO FRENTE SUPERIOR Nº1-007,,
02008,PELICANO TAPA RESISTENCIA,0.164,6.05
02009,PELICANO FRENTE COLOR Nº 3-009,,
02010,PELICANO FRENTE INFERIOR,,
02011,PELICANO FRENTE INFERIOR RECTO,0.477,6.05
02012,ZOCALO SANITARIO Nº6 -012,,
02013,,,
02014,,,
02015,PARAGOLPE,0.351,6.05
02016,MEDIA CAÑA MINI N°8 - 016,0.418,6.05
02017,FRENTE SOSTEN VIDRIO Nº 9-001,,
02018,ALOJAMIENTO VIDRIO,,
02100,ZÓCALO DE PUERTA,0.382,6.2
02101,PERFIL DESNIVEL,0.234,6.2
02102,CAÑO PLACARD,0.186,6.05
02103,PERFIL RENOVACIÓN,0.768,6.05
02104,U DE ARMADO PERFIL 1213,0.578,6.05
02105,REVESTIMIENTO ALISTONADO,0.751,6.2
02106,REVESTIMIENTO ALISTONADO SIMPLE,,6.2
02107,REVESTIMIENTO HADID,0.515,6.2
02108,LISTEL PERFIL 2107,0.073,6.2
02109,PERFIL ALFAIZAR,0.502,6.2
02110,GUARDACANTO DE 10MM,0.158,6.2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
02370,GRAMPA GRANDE PASGAL,0.752,6.05
02371,GRAMPA CHICA PASGAL,0.358,6.05
02372,CUÑA PASGAL,0.122,6.05
02408,"BARRA CUADRADA 7,95 x 7,95mm",0.173,
02409,,,
02410,,,
02411,,,
02412,"BARRA CUADRADA 12,5 x 12,5mm",0.43,3
02413,"BARRA CUADRADA 25,4 x 25,4mm (1"" x 1"")",1.8,3
02414,"BARRA RECTANGULAR 13,0 x 12,0mm",0.43,3
02415,"BARRA CUADRADA 31,75 x 31,75mm",2.78,3
02416,BARRA RECTANGULAR 16 X 15mm,0.649,3
02417,BARRA RECTANGULAR 70 x 32mm,6.17,3
02418,,,
02419,BARRA RECTANGULAR 20 x 40mm,2.2,3
02420,BARRA RECTANGULAR 90mm x 40mm,9.914,3
02421,BARRA RECTANGULAR 150mm x 15mm,6.196,3
02422,"BARRA RECTANGULAR 152mm x 6,53mm",2.735,3
02423,"BARRA RECTANGULAR 152mm x 9,52mm",3.985,3
02424,BARRA RECTANGULAR 180mm x 15mm,7.435,3
02425,,,
02426,BARRA RECTANGULAR 100mm x 5mm,1.376,3
02438,"BARRA CUADRADA 38,1 x 38,1mm",3.97,3
02500,TRAVESAÑO SCHEIMBERG,1.279,6.05
02501,TAPA TRAVESAÑO SCHEIMBERG,0.327,6.05
02502,PORTA PERNO SCHEIMBERG,1.608,6.05
02503,TAPA ALTA SCHEIMBERG,0.443,6.05
02504,CALIBRE CORTO,0.106,0.245
02505,SEGMÓMETRO,0.15,0.785
02600,PERFIL A UNION,0.347,
02601,PERFIL B VERTICAL,0.589,
02602,PERFIL C HORIZONTAL,0.482,
02603,BISAGRA AS METALES,0.57,
02604,MARCO AS METALES,0.359,
02620,"CAÑO 27,5MM ESTRIADO",0.16,6.05
02621,CUBRE CAÑO DE ESCAPE,1.8,
02700,"BARRA HEXAGONAL 25,4mm",1.54,3
02701,"BARRA HEXAGONAL 19,05mm",0.865,3
02702,BARRA HEXAGONAL 23mm,1.26,3
02801,MARCO FRENTE COPLANAR,0.95,
02802,,,
02803,PARANTE LATERAL VENTANA CORREDIZA,0.616,
02804,PARANTE CENTRAL VENTANA CORREDIZA,0.486,
02805,,,
02806,,,
02807,,,
02808,,,
02809,,,
02810,TAPAJUNTA RECTO 20MM,0.175,6.2
02811,MARCO VENTANA CORREDIZA LITORAL 45º,0.766,6.2
02812,,,
02813,ENCUENTRO CENTRAL EXTERIOR,0.154,6.05
02814,HOJA 50MM,0.514,6.05
02815,ENCUENTRO CENTRAL INTERIOR,0.234,6.05
02820,MARCO 45mm PUERTA Y VENTANA DE ABRIR,0.641,6.05
02822,HOJA,0.81,6.05
02823,MARCO CORREDIZO TUBULAR,0.88,6.05
02824,HOJA VENTANA DEA ABRIR,0.72,6.05
02825,MARCO PUERTA Y VENTANA DE ABRIR TUBULAR,0.77,6.05
02826,TAPAJUNTA ENCLIPABLE,0.25,6.05
02830,HOJA PUERTA DE ABRIR DVH,1.08,6.05
02832,HOJA DVH,0.78,6.05
02850,HOJA PUERTA DE ABRIR,1.113,6.2
02851,MARCO PUERTA Y VENTANA DE ABRIR,0.74,6.2
02852,ZOCALO PUERTA DE ABRIR,0.476,6.05
02853,ENCUENTRO HOJAS DE ABRIR,0.737,6.05
02854,HOJA DE ABRIR,0.779,6.05
02855,MARCO RECTO PUERTA Y VENTANA DE ABRIR,0.738,6.2
02856,MARCO PUERTA Y VENTANA DE ABRIR NO COPLANAR,0.701,6.2
02860,JAMBA COMBINADO,0.729,6.2
02861,MARCO COMBINADO ,0.888,6.2
02862,TRAVESAÑO DVH HOJA 90º,0.643,6.05
02863,PARANTE LATERAL DVH HOJA 90º,0.686,6.05
02864,PARANTE CENTRAL DVH HOJA 90º,0.613,6.2
02865,COMPLEMENTO PAÑO FIJO ,0.29,6.2
02866,TAPA TERMINACION ,0.237,6.2
02867,,,
02868,,,
02869,,,
02870,MARCO,1.292,6.2
02871,GUIA MARCO,0.58,6.2
02872,GUIA MARCO SUPERIOR,0.73,6.2
02873,GUIA INFERIOR,0.399,6.2
02874,ZOCALO PLEGABLE,0.275,6.05
02881,TRAVESAÑO 70mm,1.02,6.05
02882,TRAVESAÑO 70mm DVH,0.961,6.05
02890,JAMBA,0.485,6.05
02891,MARCO,0.716,6.05
02892,TAPAJUNTA,0.148,6.05
02893,PARANTE LATERAL,0.755,6.05
02894,PARANTE CENTRAL,0.715,6.05
02896,UNION REDUCCION 180°,0.315,6.05
02897,REFUERZO UMBRAL,0.14,6.05
02899,MARCO VENTANA DESPLAZABLE,0.643,6.2
03001,MARCO,1.16,6.2
03002,TRAVESAÑO,0.718,6.05
03003,PARANTE LATERAL,0.672,6.05
03004,PARANTE CENTRAL,0.603,6.05
03005,MOSQUITERO,0.432,6.05
03006,TRAVESAÑO VENTANA CORREDIZA,0.753,6.05
03007,TRAVESAÑO 110mm,1.274,6.05
03008,UNIÓN 180º 90mm,1.212,6.2
03009,PARANTE CENTRAL REFORZADO,0.916,6.05
03010,JAMBA,0.597,6.2
03011,TAPAJUNTA,0.243,6.2
03012,ENSAMBLE ROTATIVO,0.31,6.05
03013,ENCUENTRO CENTRAL,0.256,6.05
03014,HOJA 45°,0.765,6.05
03015,PREMARCO 37mm,0.325,6.2
03016,UNION MARCO 90°,0.694,6.05
03017,UNION MARCO 180°,0.252,6.05
03018,MARCO,0.733,6.2
03019,HOJA VENTANA DE ABRIR,0.788,6.05
03020,ENCUENTRO CENTRAL,0.829,6.05
03021,TOPE MOSQUITERO,0.188,6.05
03022,PREMARCO,0.46,6.2
03023,HOJA 45° DVH,0.74,6.05
03024,TAPAJUNTA CURVO,0.367,6.2
03025,TAPAJUNTA 34MM,0.24,6.2
03026,CIERRE CENTRAL 4 HOJAS EN 2 GUIAS,0.247,6.05
03027,CIERRE CENTRAL 4 HOJAS EN 2 GUIAS,0.287,6.05
03028,BOTA AGUA,0.114,6.05
03029,GUIA DE CORTINA,0.615,6.05
03030,MARCO FRENTE COPLANAR CON MOSQUITERO,0.93,6.2
03031,MARCO 3 GUIAS FRENTE COPLANAR CON MOSQUITERO,1.4,6.2
03032,TRAVESAÑO DVH,0.69,6.05
03033,PARANTE LATERAL DVH,0.646,6.05
03034,PARANTE CENTRAL DVH,0.577,6.05
03035,HOJA PROYECTANTE,0.983,6.05
03036,HOJA PROYECTANTE DVH,0.954,6.05
03037,TRAVESAÑO 110mm DVH,1.247,6.05
03038,HOJA VENTILUZ,0.95,6.05
03039,PARANTE CENTRAL REFORZADO DVH,0.892,6.05
03040,ENCUENTRO CENTRAL REFORZADO 3014 / 3023,0.759,6.05
03041,HOJA VENTANA DE ABRIR NO COPLANAR,0.864,6.05
03042,HOJA VENTILUZ NO COPLANAR,0.87,6.05
03043,HOJA VENTANA PROYECTANTE,1.087,6.05
03044,HOJA VENTANA DE ABRIR NO COPLANAR RECTA,0.825,6.05
03045,HOJA VENTILUZ NO COPLANAR RECTA,0.831,6.05
03047,,,
03048,HOJA VENTANA DE ABRIR DVH,0.761,6.05
03049,,,
03050,PLETINA PARA FALLEBA,0.158,
03051,GAFA Nº 1 PUERTA REFRIGERACION,0.786,
03052,ZOCALO BOTA AGUA,0.45,6.05
03053,RIEL SAMACO,0.137,
03054,,,
03055,,,
03056,,,
03057,,,
03058,,,
03059,,,
03060,JAMBA MARCO 3 GUIAS,0.947,6.2
03061,MARCO 3 GUIAS,1.665,6.2
03062,,,
03063,,,
03064,,,
03065,,,
03066,TRAVESAÑO VENTANA CORREDIZA DVH,0.701,6.05
03096,,,
03099,MARCO VENTANA DESPLAZABLE,0.65,6.2
03100,TRAVESAÑO HOJA,1.134,6.05
03101,HOJA PUERTA DE ABRIR,1.151,6.2
03102,MARCO,0.71,6.2
03103,CONTRAVIDRIO,0.447,6.05
03104,CONTRAVIDRIO DVH,0.409,6.05
03105,ENCUENTRO CENTRAL,0.827,6.05
03106,MARCO PUERTA CORREDIZA PARALELA,0.92,6.2
03107,ZOCALO HOJA 120MM,1.842,6.05
03115,TRAVESAÑO MOSQUITERO ,0.47,6.05
03150,,,
03201,MARCO CURVO,0.748,6.2
03202,MARCO DOBLE CONTRAVIDRIO,0.652,6.2
03203,TRAVESAÑO CURVO,0.748,6.05
03204,TRAVESAÑO RECTO,0.78,6.05
03205,,,
03209,CONTRAVIDRIO RECTO ALOJAMIENTO 17MM,0.258,6.05
03210,CONTRAVIDRIO RECTO,0.298,6.05
03211,CONTRAVIDRIO RECTO DVH,0.214,6.05
03212,CONTRAVIDRIO CURVO,0.185,6.05
03213,CONTRAVIDRIO CURVO DVH,0.134,6.05
03214,CONTRAVIDRIO 30MM,0.154,6.05
03215,CONTRAVIDRIO CURVO 29MM,0.21,6.05
03216,CONTRAVIDRIO CURVO 12MM,0.117,6.05
03217,CONTRAVIDRIO RECTO 36MM,0.32,6.05
03218,CONTRAVIDRIO CURVO 15MM,0.161,6.05
03219,CONTRAVIDRIO CURVO 36MM,0.23,6.05
03220,HOJA CELOSIA CORREDIZA,0.753,6.05
03221,LAMA CELOSIA CORREDIZA,0.577,6.05
03222,CONTRAVIDRIO RECTO 15MM A 45º,0.172,6.05
03223,CONTRAVIDRIO RECTO 22MM A 45º,0.195,6.05
03224,CONTRAVIDRIO RECTO 29MM A 45º,0.218,6.05
03225,CONTRAVIDRIO RECTO 36MM A 45º,0.241,6.05
03226,CONTRAVIDRIO RECTO 30MM A 45º,0.119,6.05
03227,CONTRAVIDRIO RECTO 8MM A 45º,0.15,6.05
03304,MARCO PUERTA PLACA 47mm,0.555,6.2
03313,ENCUENTRO CENTRAL HOJA 3314,0.317,6.2
03314,HOJA 68MM A 45ª CON CONTRAVIDRIO,0.795,6.05
03400,,,
03401,MARCO VENTANA CORREDIZA PLUS,1.493,6.2
03402,TRAVESAÑO VIDRIO SIMPLE PLUS,0.943,6.2
03403,PARANTE LATERAL VIDRIO SIMPLE PLUS,1.225,6.2
03404,PARANTE CENTRAL VIDRIO SIMPLE PLUS ,1.175,6.2
03405,MOSQUITERO PLUS,0.666,6.2
03406,TRAVESAÑO 65 MM VENTANA CORREDIZA VIDRIO SIMPLE PLUS,1.002,6.2
03407,TRAVESAÑO 110mm VIDRIO SIMPLE PLUS,1.431,6.2
03408,,,
03409,,,
03410,JAMBA CORREDIZA PLUS,0.757,6.2
03411,TAPAJUNTAS 28MM,0.215,6.2
03412,TRAVESAÑO ,1.371,6.2
03413,,,
03414,UNION MARCO 180º PLUS,0.322,6.2
03415,PREMARCO 50 MM,0.411,6.2
03416,,,
03417,UNION MARCO 180º PLUS REFORZADA,1.326,6.2
03418,,,
03419,ENCUENTRO CENTRAL PUERTA DE ABRIR PLUS ,1.142,6.2
03420,ENCUENTRO CENTRAL VENTANA DE ABRIR PLUS,1.187,6.2
03421,TOPE MOSQUITERO PLUS,0.338,6.2
03422,,,
03423,CONTRAVIDRIO RECTO 21MM PATAGONIA PLUS,0.21,6.05
03424,,,
03425,CONTRAVIDRIO RECTO 37MM PATAGONIA PLUS,0.263,6.05
03426,ENCUENTRO 90º PATAGONIA PLUS,0.785,6.05
03427,CIERRE CENTRAL 4 HOJAS EN 2 GUIAS,0.275,6.05
03428,PERFIL BOTAGUAS ,0.137,6.2
03429,,,
03430,CONTRAVIDRIO INTEGRADO SIMPLE PATAGONIA PLUS,0.785,6.05
03431,CONTRAVIDRIO INTEGRADO DVH PATAGONIA PLUS ,0.734,6.05
03432,TRAVESAÑO DVH PLUS,0.884,6.2
03433,PARANTE LATERAL DVH PLUS,1.16,6.2
03434,PARANTE CENTRAL DVH PLUS,1.111,6.2
03435,,,
03436,,,
03437,TRAVESAÑO 110mm DVH PLUS,1.367,6.2
03438,HOJA VENTANA DESPLAZABLE PLUS ,1.194,6.2
03439,,,
03440,HOJA DE ABRIR PATAGONIA VIDRIO SIMPLE PLUS ,1.359,6.2
03441,HOJA DE ABRIR PATAGONIA DVH PLUS,1.285,6.2
03442,MARCO DE ABRIR PLUS,0.932,6.2
03443,HOJA PUERTA PLUS,1.329,6.2
03444,TRAVESAÑO HOJA PUERTA PLUS,,6.2
03445,,,
,,,
03447,ZÓCALO HOJA PUERTA PLUS ,2.257,6.2
03448,HOJA VENTANA PARA CONTRAVIDRIO INTEGRADO,0.952,6.2
03460,JAMBA CORREDIZA TRES HOJAS PLUS ,1.137,6.2
03461,MARCO VENTANA CORREDIZA TRES HOJAS PLUS,2.159,6.2
03465,PREMARCO 96 MM,0.687,6.2
03466,TRAVESAÑO 65 MM VENTANA CORREDIZA DVH PLUS,0.889,6.2
03499,MARCO VENTANA DESPLAZABLE PLUS ,0.745,6.2
,,,
,,,
,,,
03501,MARCO 75mm,1.149,
03521,GUIA MOSQUITERO PARA 03501,0.228,
04001,J.A. Nº 1,0.727,6.05
04002, J.A. Nº 2,0.82,6.05
05050,ATEC,0.478,6.05
05051,PORTA FELPA,0.267,6.05
05052,PORTA CEPILLO,0.162,
05053,CASITA,0.416,
05054,CAÑO OVALADO,0.2,
05055,RPB 1,0.65,6.05
05056,RPB 2,0.655,6.05
05057,RPB 3,0.375,
05058,RPB 4,0.515,
05059,U 64MM,0.57,
05060,PERFIL FRENO RPB,4.876,
05061,TRIANGULO,,
05062,PARANTE CUADRADO PESADO,1.68,6.05
05063,BARRE FONDO VULCANO,1.55,
05064,GUIA CORTINA IVECO,0.11,5.1
05065,CORTINA LUXE PERFIL,0.351,
05066,"PERFIL U 15X27X1,7mm",0.366,6.05
05067,PORTA BLINDEX,1.511,
05068,PARABRISAS LANCHA 1,0.59,
05069,HACHE TUBULAR,0.328,
05070,OVALO 15MM,0.318,
05071,OVALO 30MM,0.942,
05072,CAÑO OVALADO 30MM,0.24,
05073,MARCO SERIGRAFIA,1.4,
05074,ESTRIBO,1.56,5.5
05075,GUIA CORTINA DE ENROLLAR 120MM,1.279,6.2
05100,PERFIL PERCUSSION,0.076,6.05
05101,PERFIL PERCUSSION 2,0.13,6.05
05102,PERFIL 1 ,0.588,6.05
05103,PERFIL 2,0.609,6.05
05199,GUÍA PUERTA PLEGABLE,1.661,6.2
05200,AMURE,0.505,
05201,PORTA VIDRIO 6mm,0.378,
05202,REGULACION,0.568,
05203,PORTA BURLETE,0.147,
05204,ENSAMBLE ROTOR,1.31,
05205,PORTA VIDRIO,0.381,
05206,PORTA BURLETE BASE MAMPARA 8mm,0.17,
05207,UNION 45º,0.34,
05208,HOJA FIJA 6 / 8mm,0.57,
05220,GUIA SUPERIOR MC,0.740826,
05221,TAPA SUPERIOR MC,0.294678,
05222,GUIA INFERIOR MC,0.335988,
05223,TAPA INFERIOR MC,0.077112,
05224,GUIA SUPERIOR MC,0.675,6.2
05225,ZÓCALO,1.333,6.2
05226,GUIA PUERTA TELESCOPICA,1.212,6.05
05227,,,
05228,,,
05229,,,
05230,HOJA PLACARD VIDRIO 6MM,0.67,
05231,GUIA VEO,0.35,
05232,MANIJA CAJON,0.327,
05233,MANIJA PLACARD CLASE A,0.41,
05234,MANIJA PLACARD PREMIUM,0.625,
05235,ZOCALO Y DINTEL,0.312,6.05
05236,GUIA PLACARD 53MM,0.287,6.05
05237,MANIJA PLACARD TUBULAR,0.385,6.05
05238,ZOCALO Y DINTEL 78MM,0.802,6.05
05239,GUIA SUPERIOR PLACARD 75MM,0.58,6.05
05240,MANIJA PLACARD MADERA VIDRIO,0.428,6.05
05241,TAPA BARANDA PANORAMA,0.621,6.05
05242,PRENSA DE BARANDA ,5.176,3.5
05243,BASE BARANDA,altofem,5
05244,CAÑO 10X30,0.484,6.05
05245,DINTEL PUERTA CORREDIZA 3H,1.33,6.2
05246,TAPA PUERTA CORREDIZA 3H,0.35,6.2
05247,ZÓCALO PUERTA CORREDIZA 3H,0.5,6.2
05248,DINTEL PLEGABLE,0.931,6.05
05249,MANIJA PLACARD MADERA VIDRIO,0.368,6.05
05250,REBATIBLE,0.627,
05251,BASE,0.402,
05252,W11-102S,1.864,6.2
05253,W11-102M,3.639,5.5
05254,W11-102I,1.965,6.2
05255,BROCHE V,"0,276","6,05"
05256,LAMA REV 8,1.01,6.05
05257,"CAÑO ALUMINIO 101,6MM",1.384,6.05
05258,PERFIL PANEL SOLAR,0.614,6.05
05259,ISIDRO,0.53,6.05
05260,PERFIL PRENSA VIDRIO,0.485,6.05
05261,"CAÑO ESTRIADO ø19,1",0.169,6.05
05262,"CAÑO ESTRIADO ø 31,9",0.286,6.05
05263,"CAÑO LISO ø28,4",0.237,6.05
05264,TIRADOR ,0.155,6.05
05265,PORTA PAQUETE,1.237,6.05
05266,MARCO SUPERIOR,0.61,6.05
05267,ENCUENTRO DE HOJAS,0.312,6.05
05268,MARCO INFERIOR 3 GUIAS,1.016,6.05
05269,MARCO INFERIOR 2 GUIAS,0.69,6.05
06000,SOPORTE FLUORECENTE,1.081,
06001,BASE FIJA,0.982,
06002,BASE MOVIL,0.963,
06003,ESQUINERO,0.569,
06004,MOLDURON PORTAPAQUETE JT,3.057,5.5
06005,BARRE FONDO VULCANO,1.224,6.05
06006,DISIPADOR LED,7.127,1.83
06007,PERFIL PORTA LED,0.094,6.05
06008,COLUMNA BALANZA,,
06009,PERFIL AL ENCASTRE DOBLE,0.892,6.05
06010,PERFIL GABINETE DE ILUMINACION,2.339,
06011,GUÍA ESTRUTEC,0.13,6.05
06012,GUIA,0.652,
06013,CANTO MUEBLE,0.228,
06014,PEFIL U CENTRAL,0.705,
06015,PERFIL LATERAL,0.494,6.05
06016,PLANCHUELA 50mm,0.667,6.05
06017,PERRO CADENA,2.138,6.05
06018,PLANCHUELA 50 MM,1.205,6.05
06019,GUARDA CERAMICO 12mm,0.145,6.05
06020,BISAGRA COLGANTE,1.243,6.05
06021,GUARDA CERAMICO 9mm,0.126,6.05
06022,CRUZ,0.057,6.05
06023,INVAP 01,0.269,6.05
06024,INVAP 02,0.211,6.05
06025,CORREDERA   ,0.278,6.05
06026,,2.23,6.05
06027,ZOCALO,0.266,6.05
06028,CAJON,1.07,6.05
06029,BASE CABEZAL,0.185,6.05
06030,PORTA CARTEL OMNIBUS,0.31,6.05
06031,CORREDERA 910,1.65,6.05
06032,CABEZAL PLEGABLE,0.43,6.05
06033,GUIA,4.13,4.3
06034,SUJETADOR DE LONA,0.395,6.05
06035,GUIA LATERAL,1.38,6.05
06036,FLEJE TRANSVERSAL,1.43,6.05
06037,PERFIL DE 5 VIAS,0.831,6.05
06038,PERFIL TAPA CAJON 86MM,0.483,6.05
06039,PERFIL CAJON 86MM,1.605,6.05
06040,BASE CLARABOYA,0.835,
06041,PARANTE 40 x 40MM,1.674,6.05
06042,SOPORTE ROLLBOX 86,0.95,6.05
06043,TERMINAL 17x34,0.38,6.05
06044,BASE FLUORESCENTE,0.5,
06045,GUIA 20 X 60,0.495,6.05
06046,"BANDA 28 X 27,5",0.31,6.05
06047,GUIA ZIP 40 X 20,0.4,6.05
06048,CENEFA 75 X 75,0.54,6.05
06049,CENEFA 120 X 100,0.69,6.05
06050,A1 DOBLE T,0.553,6.05
06051,A3 TAPA,0.425,6.05
06052,A4 MARCO,0.951,
06053,ESCUADRA 11mm,1.5,6.05
06054,"CAÑO REDONDO 79,7",1.143,6.05
06055,MOLDURA JULIO GOUX,0.45,6.05
06056,CAÑO OVALADO,1.13,6.05
06057,AL01,1.34,6.05
06058,AL02,1.084,6.05
06059,INSERTO GUIA,7.05,Largo de barra a confirmar por cliente
06060,PERFIL GABINETE,0.985,6.05
06061,MOLDURA PUERTAS PLACA,0.051,6.05
06062,GUIA CORTINA DE ENROLLAR PARA PREMARCO DE CHAPA,0.335,6.05
06063,GUIA SUPERIOR FRENTE DE PLACARD,0.715,6.05
06064,HOJA CURVA ALACENA,0.445,6.05
06065,SUJETADOR TELA,0.227,
06066,GUIA DE MARIDGE,7.832,
06067,TABLILLA CORTINA BARRIO CON PORTAFELPA,0.511,6.05
06068,AMURE MAMPARA REBATIBLE,0.365,6.05
06069,REGULADOR MAMPARA REBATIBLE,0.8,6.05
06070,PORTAVIDRIO MAMPARA REBATIBLE,0.88,6.05
06071,ENROLLADOR TOLDO 38.5mm,0.4,6.05
06072,ENROLLADOR TOLDO 30mm,0.305,6.05
06073,PORTAPRECIOS,0.656,Largo de barra a confirmar por cliente
06074,CENEFA SUPERIOR 2011,1.168,Largo de barra a confirmar por cliente
06075,MESADA DE ALUMINIO BATEA,1.43,
06076,"ENROLLADOR TOLDO 30,5mm",0.31,6.05
06077,PORTA CINTA LEDS,0.191,6.05
06078,REFUERZO INTERIOR PUERTA DE BODEGA,0.355,6.05
06079,PERFIL ALOJAMIENTO ILUMINACION LEDS,0.535,6.05
06080,PARANTE CERCO PISCINA,0.301,6.05
06081,MARCO VENTANA COLECTIVOS,0.295,6.2
06082,CONTRAVIDRIO VENTANA COLECTIVOS,0.185,6.2
06083,MARCO BANDEJAS PANADERAS,0.241,4.5
06084,INSERTO ALUMINIO MAA/MSC,7.32,Largo de barra a confirmar por cliente
06085,ACCESORIO BALANZA,0.192,6.05
06086,GUIA PARA CORTINAS ROLLER,0.549,6.05
06087,PERFIL DE VENTANA,0.501,6.05
06088,ESQUINERO EXHIBIDORES,1.424,6.05
06089,BARRA GUARDACICLISTA,1.491,
06090,PERFIL 1 LADO PASILLO,1.542,6.05
06091,PERFIL 2 LADO VENTANILLA,0.77,6.05
